year,constructorStandingsId,constructorId,points,position,positionText,wins
2010,1,red_bull,498,1,1,9
2010,2,mclaren,454,2,2,5
2010,3,ferrari,396,3,3,5
2010,4,mercedes,214,4,4,0
2010,5,renault,163,5,5,0
2010,6,williams,69,6,6,0
2010,7,force_india,68,7,7,0
2010,8,sauber,44,8,8,0
2010,9,toro_rosso,13,9,9,0
2010,10,lotus_racing,0,10,10,0
2010,11,hrt,0,11,11,0
2010,12,virgin,0,12,12,0
2011,13,red_bull,650,1,1,12
2011,14,mclaren,497,2,2,6
2011,15,ferrari,375,3,3,1
2011,16,mercedes,165,4,4,0
2011,17,renault,73,5,5,0
2011,18,force_india,69,6,6,0
2011,19,sauber,44,7,7,0
2011,20,toro_rosso,41,8,8,0
2011,21,williams,5,9,9,0
2011,22,lotus_racing,0,10,10,0
2011,23,hrt,0,11,11,0
2011,24,virgin,0,12,12,0
2012,25,red_bull,460,1,1,7
2012,26,ferrari,400,2,2,3
2012,27,mclaren,378,3,3,7
2012,28,lotus_f1,303,4,4,1
2012,29,mercedes,142,5,5,1
2012,30,sauber,126,6,6,0
2012,31,force_india,109,7,7,0
2012,32,williams,76,8,8,1
2012,33,toro_rosso,26,9,9,0
2012,34,caterham,0,10,10,0
2012,35,marussia,0,11,11,0
2012,36,hrt,0,12,12,0
2013,37,red_bull,596,1,1,13
2013,38,mercedes,360,2,2,3
2013,39,ferrari,354,3,3,2
2013,40,lotus_f1,315,4,4,1
2013,41,mclaren,122,5,5,0
2013,42,force_india,77,6,6,0
2013,43,sauber,57,7,7,0
2013,44,toro_rosso,33,8,8,0
2013,45,williams,5,9,9,0
2013,46,marussia,0,10,10,0
2013,47,caterham,0,11,11,0
2014,48,mercedes,701,1,1,16
2014,49,red_bull,405,2,2,3
2014,50,williams,320,3,3,0
2014,51,ferrari,216,4,4,0
2014,52,mclaren,181,5,5,0
2014,53,force_india,155,6,6,0
2014,54,toro_rosso,30,7,7,0
2014,55,lotus_f1,10,8,8,0
2014,56,marussia,2,9,9,0
2014,57,sauber,0,10,10,0
2014,58,caterham,0,11,11,0
2015,59,mercedes,703,1,1,16
2015,60,ferrari,428,2,2,3
2015,61,williams,257,3,3,0
2015,62,red_bull,187,4,4,0
2015,63,force_india,136,5,5,0
2015,64,lotus_f1,78,6,6,0
2015,65,toro_rosso,67,7,7,0
2015,66,sauber,36,8,8,0
2015,67,mclaren,27,9,9,0
2015,68,manor,0,10,10,0
2016,69,mercedes,765,1,1,19
2016,70,red_bull,468,2,2,2
2016,71,ferrari,398,3,3,0
2016,72,force_india,173,4,4,0
2016,73,williams,138,5,5,0
2016,74,mclaren,76,6,6,0
2016,75,toro_rosso,63,7,7,0
2016,76,haas,29,8,8,0
2016,77,renault,8,9,9,0
2016,78,sauber,2,10,10,0
2016,79,manor,1,11,11,0
2017,80,mercedes,668,1,1,12
2017,81,ferrari,522,2,2,5
2017,82,red_bull,368,3,3,3
2017,83,force_india,187,4,4,0
2017,84,williams,83,5,5,0
2017,85,renault,57,6,6,0
2017,86,toro_rosso,53,7,7,0
2017,87,haas,47,8,8,0
2017,88,mclaren,30,9,9,0
2017,89,sauber,5,10,10,0
2018,90,mercedes,655,1,1,11
2018,91,ferrari,571,2,2,6
2018,92,red_bull,419,3,3,4
2018,93,renault,122,4,4,0
2018,94,haas,93,5,5,0
2018,95,mclaren,62,6,6,0
2018,96,force_india,52,7,7,0
2018,97,sauber,48,8,8,0
2018,98,toro_rosso,33,9,9,0
2018,99,williams,7,10,10,0
2019,100,mercedes,739,1,1,15
2019,101,ferrari,504,2,2,3
2019,102,red_bull,417,3,3,3
2019,103,mclaren,145,4,4,0
2019,104,renault,91,5,5,0
2019,105,toro_rosso,85,6,6,0
2019,106,racing_point,73,7,7,0
2019,107,alfa,57,8,8,0
2019,108,haas,28,9,9,0
2019,109,williams,1,10,10,0
2020,110,mercedes,573,1,1,13
2020,111,red_bull,319,2,2,2
2020,112,mclaren,202,3,3,0
2020,113,racing_point,195,4,4,1
2020,114,renault,181,5,5,0
2020,115,ferrari,131,6,6,0
2020,116,alphatauri,107,7,7,1
2020,117,alfa,8,8,8,0
2020,118,haas,3,9,9,0
2020,119,williams,0,10,10,0
2021,120,mercedes,613.5,1,1,9
2021,121,red_bull,585.5,2,2,11
2021,122,ferrari,323.5,3,3,0
2021,123,mclaren,275,4,4,1
2021,124,alpine,155,5,5,1
2021,125,alphatauri,142,6,6,0
2021,126,aston_martin,77,7,7,0
2021,127,williams,23,8,8,0
2021,128,alfa,13,9,9,0
2021,129,haas,0,10,10,0
2022,130,red_bull,759,1,1,17
2022,131,ferrari,554,2,2,4
2022,132,mercedes,515,3,3,1
2022,133,alpine,173,4,4,0
2022,134,mclaren,159,5,5,0
2022,135,alfa,55,6,6,0
2022,136,aston_martin,55,7,7,0
2022,137,haas,37,8,8,0
2022,138,alphatauri,35,9,9,0
2022,139,williams,8,10,10,0
